,slug,resort_name,state,base_elevation,base_public_lift_elevation,peak_public_lift_elevation,peak_elevation,max_lift_served_run_vert,advertised_acres,skiable_acres,public_skiable_acres,public_lift_served_skiable_acres,public_boundary_area,region
155,whiteface-mountain,Whiteface Mountain,New York,1220.0,1220.0,4386,4650,3166.0,334.0,334,334,299,1015,Northeast
156,arctic-valley,Arctic Valley,Alaska,2526.0,2526.0,3930,4068,1404.0,320.0,320,320,320,375,Pacific
157,hunter,Hunter,New York,1640.0,1640.0,3200,3200,1560.0,320.0,320,320,320,660,Northeast
158,attitash,Attitash,New Hampshire,620.0,620.0,2285,2285,1665.0,311.0,311,311,311,790,Northeast
159,harper-mountain,Harper Mountain,British Columbia,3530.0,3530.0,4830,4830,1300.0,400.0,300,300,300,300,Western Canada
160,boreal,Boreal,California,7169.0,7169.0,7696,7696,527.0,380.0,300,300,300,300,Pacific
161,bolton-valley,Bolton Valley,Vermont,1558.0,1558.0,3115,3115,1557.0,300.0,300,300,300,550,Northeast
162,greek-peak,Greek Peak,New York,1260.0,1260.0,2089,2089,800.0,300.0,300,300,300,460,Northeast
163,sandia-peak,Sandia Peak,New Mexico,8680.0,8680.0,10285,10285,1605.0,300.0,300,300,300,410,Rockies
164,donner-ski-ranch,Donner Ski Ranch,California,7040.0,7040.0,7761,7761,721.0,500.0,290,290,290,290,Pacific
165,holiday-valley,Holiday Valley,New York,1530.0,1530.0,2320,2320,726.0,290.0,290,290,290,615,Northeast
166,granite-peak,Granite Peak,Wisconsin,1217.0,1217.0,1880,1880,663.0,400.0,290,290,290,290,Midwest
167,cannon,Cannon,New Hampshire,1835.0,1873.0,4030,4030,2157.0,287.0,287,287,287,860,Northeast
168,seven-springs,Seven Springs,Pennsylvania,2260.0,2260.0,2995,2995,735.0,285.0,285,285,285,440,Northeast
169,windham,Windham,New York,1710.0,1710.0,3050,3050,1340.0,285.0,285,285,285,600,Northeast
170,pajarito,Pajarito,New Mexico,8975.0,8975.0,10430,10450,1370.0,280.0,280,280,280,600,Rockies
171,snowshoe,Snowshoe,West Virginia,3260.0,3260.0,4785,4785,1455.0,270.0,270,270,270,550,Northeast
172,waterville-valley,Waterville Valley,New Hampshire,1834.0,1834.0,3850,3850,2016.0,265.0,265,265,265,490,Northeast
173,sun-valley--dollar-mountain,Sun Valley -- Dollar Mountain,Idaho,5950.0,5950.0,6570,6570,620.0,260.0,260,260,260,260,Rockies
174,loup-loup-ski-bowl,Loup Loup Ski Bowl,Washington,4080.0,4080.0,5300,5300,1220.0,300.0,260,260,260,260,Pacific
175,shames,Shames,British Columbia,2328.0,2328.0,3793,3793,1465.0,252.0,252,252,252,365,Western Canada
176,anthony-lakes,Anthony Lakes,Oregon,7130.0,7130.0,7930,7930,800.0,1000.0,250,250,250,250,Pacific
177,white-pine,White Pine,Wyoming,8438.0,8438.0,9334,9334,896.0,370.0,250,250,250,250,Rockies
178,snowriver--jackson-creek,Snowriver -- Jackson Creek,Michigan,1207.0,1207.0,1745,1745,538.0,250.0,250,250,250,250,Midwest
179,snowy-range,Snowy Range,Wyoming,8770.0,8770.0,9642,9642,872.0,250.0,250,250,250,330,Rockies
180,ragged-mountain,Ragged Mountain,New Hampshire,1125.0,1125.0,2208,2208,1083.0,250.0,250,250,250,500,Northeast
181,labrador,Labrador,New York,1184.0,1184.0,1857,1857,673.0,,250,250,250,250,Northeast
182,porcupine-mountains,Porcupine Mountains,Michigan,732.0,732.0,1364,1364,632.0,250.0,250,250,250,250,Midwest
183,nubs-nob,Nub's Nob,Michigan,920.0,920.0,1328,1328,408.0,248.0,248,248,248,248,Midwest
184,pleasant-mountain,Pleasant Mountain,Maine,515.0,515.0,1763,1763,1248.0,,245,245,245,260,Northeast
185,big-bear-snow-summit,Big Bear -- Snow Summit,California,6970.0,6970.0,8180,8180,1210.0,240.0,240,240,240,430,Pacific
186,whitecap-mountains,Whitecap Mountains,Wisconsin,1450.0,1450.0,1780,1780,330.0,400.0,240,240,240,240,Midwest
187,sunapee,Sunapee,New Hampshire,1260.0,1260.0,2720,2720,1460.0,233.0,233,233,233,715,Northeast
188,marble-mountain,Marble Mountain,Newfoundland and Labrador,52.0,52.0,1532,1532,1480.0,230.0,230,230,230,500,Eastern Canada
189,gunstock,Gunstock,New Hampshire,930.0,930.0,2240,2240,1310.0,227.0,227,227,227,475,Northeast
190,big-powderhorn,Big Powderhorn,Michigan,1214.0,1214.0,1634,1634,420.0,253.0,226,226,226,226,Midwest
191,wildcat,Wildcat,New Hampshire,1930.0,1930.0,3970,3970,2040.0,225.0,225,225,225,550,Northeast
192,grouse-mountain,Grouse Mountain,British Columbia,2840.0,2840.0,3950,3950,1110.0,212.0,212,212,212,260,Western Canada
193,mount-ashland,Mount Ashland,Oregon,6316.0,6316.0,7470,7470,1154.0,223.0,210,210,210,210,Pacific
194,sasquatch,Sasquatch,British Columbia,3196.0,3196.0,4303,4303,1107.0,205.0,205,205,205,390,Western Canada
195,magic-mountain,Magic Mountain,Vermont,1370.0,1370.0,2850,2850,1480.0,205.0,205,205,205,420,Northeast
196,mount-seymour,Mount Seymour,British Columbia,3265.0,3330.0,4100,4100,770.0,200.0,200,200,200,200,Western Canada
